BER,Average Bit Flips
0.001,0.011
0.00046415888336127773,0.005
0.00021544346900318845,0.001
0.0001,0.001
4.641588833612782e-05,0.0
2.1544346900318867e-05,0.001
1e-05,0.0
4.641588833612782e-06,0.0
2.1544346900318865e-06,0.0
1e-06,0.0
