BER,BCH_Num_Errors,RS_Num_Errors,BCH_Text_Matches,RS_Text_Matches
1e-07,0,0,True,True
0.00010010000000000001,0,0,True,True
0.0002001,0,0,True,True
0.00030010000000000003,0,0,True,True
0.0004001,0,0,True,True
0.0005001,0,0,True,True
0.0006001,0,0,True,True
0.0007000999999999999,0,0,True,True
0.0008001,0,0,True,True
0.0009001,0,0,True,True
0.0010001,0,0,True,True
0.0011001000000000001,0,0,True,True
0.0012001000000000002,0,0,True,True
0.0013001000000000002,0,0,True,True
0.0014001,0,0,True,True
0.0015001,0,0,True,True
0.0016001000000000001,0,0,True,True
0.0017001000000000002,0,0,True,True
0.0018001000000000002,0,0,True,True
0.0019001,0,0,True,True
0.0020001,0,0,True,True
0.0021001,0,0,True,True
0.0022001,0,0,True,True
0.0023001,0,0,True,True
0.0024001,0,0,True,True
0.0025001,0,0,True,True
0.0026001,0,0,True,True
0.0027001,0,0,True,True
0.0028001,0,0,True,True
0.0029001,0,0,True,True
0.0030001,0,0,True,True
0.0031001,0,0,True,True
0.0032001,0,0,True,True
0.0033001,0,0,True,True
0.0034001,0,0,True,True
0.0035001,0,0,True,True
0.0036001,0,0,True,True
0.0037001,0,0,True,True
0.0038001,0,0,True,True
0.0039001,0,0,True,True
0.0040001,0,0,True,True
0.004100100000000001,0,0,True,True
0.004200100000000001,0,0,True,True
0.0043001,0,0,True,True
0.0044001000000000005,0,0,True,True
0.004500100000000001,0,0,True,True
0.0046001,0,0,True,True
0.0047001000000000005,0,0,True,True
0.004800100000000001,0,0,True,True
0.0049001,0,0,True,True
0.0050001,0,0,True,True
0.005100100000000001,0,0,True,True
0.005200100000000001,0,0,True,True
0.0053001,0,0,True,True
0.0054001000000000006,0,0,True,True
0.005500100000000001,0,0,True,True
0.0056001,0,0,True,True
0.0057001000000000005,0,0,True,True
0.005800100000000001,0,0,True,True
0.0059001,0,0,True,True
0.0060001,0,0,True,True
0.006100100000000001,0,0,True,True
0.006200100000000001,0,0,True,True
0.0063001,0,0,True,True
0.006400100000000001,0,0,True,True
0.006500100000000001,0,0,True,True
0.0066001,0,0,True,True
0.0067001000000000005,0,0,True,True
0.006800100000000001,0,0,True,True
0.006900100000000001,5,0,False,True
0.0070001,0,0,True,True
0.007100100000000001,0,0,True,True
0.007200100000000001,0,0,True,True
0.0073001,0,0,True,True
0.007400100000000001,0,0,True,True
0.007500100000000001,0,0,True,True
0.0076001,0,0,True,True
0.0077001000000000005,0,0,True,True
0.007800100000000001,0,0,True,True
0.0079001,0,0,True,True
0.0080001,0,0,True,True
0.008100099999999999,0,0,True,True
0.0082001,0,0,True,True
0.0083001,0,0,True,True
0.0084001,0,0,True,True
0.0085001,0,0,True,True
0.0086001,0,0,True,True
0.0087001,0,0,True,True
0.0088001,0,0,True,True
0.0089001,0,0,True,True
0.0090001,5,0,False,True
0.0091001,0,0,True,True
0.0092001,0,0,True,True
0.0093001,0,0,True,True
0.0094001,0,0,True,True
0.0095001,0,0,True,True
0.0096001,0,0,True,True
0.0097001,0,0,True,True
0.009800099999999999,0,0,True,True
0.0099001,0,0,True,True
0.01,0,0,True,True
0.02,0,0,True,True
0.03,0,0,True,True
0.04,3,0,False,True
0.05,4,0,False,True
0.060000000000000005,4,nan,False,False
0.06999999999999999,7,nan,False,False
0.08,8,nan,False,False
0.09,8,0,False,True
0.09999999999999999,5,nan,False,False
0.11,10,nan,False,False
0.12,14,nan,False,False
0.13,10,nan,False,False
0.14,10,nan,False,False
0.15000000000000002,12,nan,False,False
0.16,12,nan,False,False
0.17,14,nan,False,False
0.18000000000000002,11,nan,False,False
0.19,14,nan,False,False
0.2,nan,nan,False,False
